station,datetime,PM25,NO2,O3,WS,WD,TEMP,RH,AQHI,geometry,AQHI_lag1,AQHI_lag2,AQHI_lag3,AQHI_lag6,AQHI_lag12,AQHI_lag24,AQHI_change_1h,AQHI_change_3h,hour,doy,sin_hour,cos_hour,sin_doy,cos_doy
Buffalo Narrows,2026-09-24 06:00:00+00:00,2.8,0.3,31.4,9.0,350.0,13.3,77.1,2.0,"{'type': 'Point', 'coordinates': [-108.40387034522, 55.8347917730994]}",2.0,2.0,2.0,2.0,,,0.0,0.0,6,267,1.0,6.123233995736766e-17,-0.9932568492674143,-0.11593459959550066
Estevan,2026-09-24 06:00:00+00:00,6.1,2.7,6.1,3.0,173.0,14.8,85.2,1.0,"{'type': 'Point', 'coordinates': [-102.985002018981, 49.1323647672702]}",1.0,1.0,1.0,1.0,,,0.0,0.0,6,267,1.0,6.123233995736766e-17,-0.9932568492674143,-0.11593459959550066
Regina,2026-09-24 06:00:00+00:00,4.2,3.9,11.2,14.0,143.0,14.0,81.9,1.0,"{'type': 'Point', 'coordinates': [-104.617125744561, 50.4502077461615]}",1.0,1.0,1.0,2.0,,,0.0,0.0,6,267,1.0,6.123233995736766e-17,-0.9932568492674143,-0.11593459959550066
Saskatoon,2026-09-24 06:00:00+00:00,6.5,3.7,18.3,8.0,193.0,17.0,70.9,2.0,"{'type': 'Point', 'coordinates': [-106.662942708646, 52.1361376913645]}",2.0,2.0,2.0,3.0,,,0.0,0.0,6,267,1.0,6.123233995736766e-17,-0.9932568492674143,-0.11593459959550066
Swift Current,2026-09-24 06:00:00+00:00,7.0,4.9,31.8,4.0,157.0,12.9,50.0,2.0,"{'type': 'Point', 'coordinates': [-107.816680514048, 50.2858504122844]}",3.0,3.0,3.0,4.0,,,-1.0,-1.0,6,267,1.0,6.123233995736766e-17,-0.9932568492674143,-0.11593459959550066
